INFO  - 2019-04-24 21:07:43.717; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2019-04-24 21:07:43.767; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor D:\Materials\Python\djangoProject\solr-4.10.4\example\contexts at interval 0
INFO  - 2019-04-24 21:07:43.816; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: D:\Materials\Python\djangoProject\solr-4.10.4\example\contexts\solr-jetty-context.xml
INFO  - 2019-04-24 21:07:43.994; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/D:/Materials/Python/djangoProject/solr-4.10.4/example/webapps/solr.war!/ to D:\Materials\Python\djangoProject\solr-4.10.4\example\solr-webapp\webapp
INFO  - 2019-04-24 21:08:04.475; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2019-04-24 21:08:04.589; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2019-04-24 21:08:04.622; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2019-04-24 21:08:04.623; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2019-04-24 21:08:04.628; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2019-04-24 21:08:04.948; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\solr.xml
INFO  - 2019-04-24 21:08:05.495; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\Materials\Python\djangoProject\solr-4.10.4\example\solr
INFO  - 2019-04-24 21:08:05.510; org.apache.solr.core.CoreContainer; New CoreContainer 363509958
INFO  - 2019-04-24 21:08:05.510; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2019-04-24 21:08:05.526; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2019-04-24 21:08:05.527; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2019-04-24 21:08:05.539; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2019-04-24 21:08:05.547; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2019-04-24 21:08:05.548; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2019-04-24 21:08:05.551; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2019-04-24 21:08:05.553; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2019-04-24 21:08:05.556; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2019-04-24 21:08:05.557; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2019-04-24 21:08:05.558; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2019-04-24 21:08:06.643; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2019-04-24 21:08:06.662; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2019-04-24 21:08:06.669; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2019-04-24 21:08:06.671; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2019-04-24 21:08:11.255; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath D:\Materials\Python\djangoProject\solr-4.10.4\example\solr
INFO  - 2019-04-24 21:08:11.273; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\
INFO  - 2019-04-24 21:08:11.274; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
